point_transaction_id,point_date_key,created_date,modified_date,wf_key,point_allocation_id,campaign_membership_id,campaign_membership_pledge_id,point_created_date,point_modified_date,point_settled_date,point_voided_date,point_order_id,point_status,point_action,point_amount,user_id,groupon_account_id,user_uuid,category
315519133,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101610645,,,2020-05-20 00:44:15.000,2020-05-20 00:44:15.000,,,,held,reverse_authorization,44.2400,591141839,379046291,71c2c1a0-994d-11ea-893c-0242ac120002,external_gift_card
315525595,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101620257,,,2020-05-20 02:38:38.000,2020-05-20 02:38:38.000,,,,held,authorization,-21.1800,33423506,15775063,40b0ea72-2468-11e2-82c2-00259069d5fe,refund
315527201,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101509593,,,2020-05-20 03:13:47.000,2020-05-20 03:13:47.000,,,,held,reverse_authorization,9.0000,101790222,43451432,70527aa2-16e4-11e2-82e7-00259067049c,refund
315523219,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101316231,,,2020-05-20 01:51:16.000,2020-05-20 01:51:16.000,,,,held,reverse_authorization,5.2500,163469163,83345594,9de4b780-15ee-11e5-9ce9-002590980808,refund
315530271,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101314521,,,2020-05-20 04:21:45.000,2020-05-20 04:21:45.000,,,,held,authorization,-27.5900,125099903,70417023,7f0414c2-e8ba-11e2-839a-00259098068c,refund
315530629,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101617699,,,2020-05-20 04:30:03.000,2020-05-20 04:30:03.000,,,,held,reverse_authorization,1.5900,589830639,377784209,fe0b0d4c-81d4-11ea-ae5a-0242ac120002,refund
315530311,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101621245,,,2020-05-20 04:23:14.000,2020-05-20 04:23:14.000,,,,settled,issuance,358.3000,503545199,372898127,83f0e170-5379-11e8-b62a-5254b826a82a,refund
315529983,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101577927,,,2020-05-20 04:15:33.000,2020-05-20 04:15:33.000,,,,held,authorization,-6.4000,1050021,1051187,ac31a52e-22fc-11e2-bc45-00259069d5fe,refund
315521933,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101619443,,,2020-05-20 01:27:38.000,2020-05-20 01:27:38.000,,,,settled,issuance,56.2500,801595,802763,c82e584e-f24b-11e1-80e3-00259060b5e2,refund
315519389,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101009081,,,2020-05-20 00:49:30.000,2020-05-20 00:49:30.000,,,,held,authorization,-7.1600,103916288,81039770,bc7b9740-2893-11e2-8ce8-00259069d5fe,refund
315518453,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,100258395,,,2020-05-20 00:30:20.000,2020-05-20 00:30:20.000,,,,settled,capture,-14.1500,113773705,49569725,b11612a8-4897-11e2-af23-0025906125ac,exchange
315518775,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101500581,,,2020-05-20 00:37:05.000,2020-05-20 00:37:05.000,,,,held,authorization,-45.3700,163181302,83150986,a4bf3510-116d-11e5-bb72-002590980910,refund
315523731,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101572369,,,2020-05-20 02:01:32.000,2020-05-20 02:01:32.000,,,,held,reverse_authorization,9.5400,153662462,78266750,5fb6fd52-a018-11e4-a183-002590c12ab2,refund
315521007,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101581775,,,2020-05-20 01:08:25.000,2020-05-20 01:08:25.000,,,,settled,capture,-20.9900,48534627,22787569,69d809ae-0388-11e2-aabe-00259061254e,refund
315517157,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,100987137,,,2020-05-20 00:02:10.000,2020-05-20 00:02:10.000,,,,settled,capture,-7.5000,178063254,95418444,d779df70-badf-11e5-a7d6-002590980642,refund
315529987,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101621173,,,2020-05-20 04:15:34.000,2020-05-20 04:15:34.000,,,,settled,issuance,2.3400,50759491,48966078,cf6688ea-f8b1-11e1-83a6-00259060b35c,refund
315518103,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101305947,,,2020-05-20 00:20:31.000,2020-05-20 00:20:31.000,,,,held,authorization,-29.1500,150375926,75646689,b4fbd270-6ae3-11e4-823d-00259060b07a,refund
315523693,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,100478097,,,2020-05-20 02:01:03.000,2020-05-20 02:01:03.000,,,,settled,capture,-3.6700,165771783,84829848,be720bf0-3610-11e5-88df-002590980798,exchange
315524611,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101619805,,,2020-05-20 02:20:38.000,2020-05-20 02:20:38.000,,,,held,authorization,-11.4500,534675759,329575435,082ae6d4-04a0-11e9-b9c8-0242ac110002,external_gift_card
315518895,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,100814737,,,2020-05-20 00:39:49.000,2020-05-20 00:39:49.000,,,,held,authorization,-95.5400,141927661,69183275,1366b734-dae9-11e3-88ab-0025909807b4,refund
315522531,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101619599,,,2020-05-20 01:40:04.000,2020-05-20 01:40:04.000,,,,settled,issuance,60.8000,582243911,370934601,f7139dfc-5055-11ea-874a-0242ac120002,exchange
315529643,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101620997,,,2020-05-20 04:07:02.000,2020-05-20 04:07:02.000,,,,settled,capture,-13.5000,500611097,336817885,49a86c90-44c9-11e8-bed8-52549cd33548,refund
315520743,20200520,2020-05-20 15:28:55.000,2020-05-20 22:10:39.681,20200520,101572333,,,2020-05-20 01:07:12.000,2020-05-20 01:07:12.000,,,,held,reverse_authorization,1.8500,9371945,4890868,865534a2-2233-11e2-8d02-00259060b074,refund
