point_transaction_id,point_date_key,created_date,modified_date,wf_key,point_allocation_id,campaign_membership_id,campaign_membership_pledge_id,point_created_date,point_modified_date,point_settled_date,point_voided_date,point_order_id,point_status,point_action,point_amount,user_id,groupon_account_id,user_uuid,category
"315,522,355","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","101,619,531",[NULL],[NULL],2020-05-20 01:35:56,2020-05-20 01:35:56,[NULL],[NULL],[NULL],settled,issuance,11.4800,"590,170,515","378,098,801",4f95a956-84fa-11ea-b57d-0242ac120002,refund
"315,522,467","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","99,818,725",[NULL],[NULL],2020-05-20 01:39:05,2020-05-20 01:39:05,[NULL],[NULL],[NULL],held,authorization,-17.2600,"27,534,481","13,003,924",7345a9f6-2412-11e2-86db-00259069d5fe,refund
"315,518,315","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","101,618,815",[NULL],[NULL],2020-05-20 00:26:25,2020-05-20 00:26:25,[NULL],[NULL],[NULL],settled,issuance,181.4900,"93,203,335","39,577,119",f679cbc0-fa9d-11e1-8343-00259060b244,exchange
"315,530,269","20,200,520",2020-05-21 03:48:23,2020-05-21 03:48:23,"20,200,520","101,621,235",[NULL],[NULL],2020-05-20 04:21:43,2020-05-20 04:21:43,[NULL],[NULL],[NULL],settled,issuance,7.3000,"146,366,096","72,537,774",d2295b0a-20e3-11e4-b231-002590980640,exchange
"315,524,763","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","101,604,021",[NULL],[NULL],2020-05-20 02:24:17,2020-05-20 02:24:17,[NULL],[NULL],[NULL],settled,capture,-10.0000,"106,481,929","63,716,461",ff1c1296-28a2-11e2-8ce8-00259069d5fe,cs
"315,521,535","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","101,619,357",[NULL],[NULL],2020-05-20 01:17:59,2020-05-20 01:17:59,[NULL],[NULL],[NULL],settled,issuance,37.0000,"163,155,450","83,133,391",7fd4b980-1133-11e5-9820-002590980766,refund
"315,517,863","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","101,618,691",[NULL],[NULL],2020-05-20 00:15:22,2020-05-20 00:15:22,[NULL],[NULL],[NULL],settled,issuance,45.0000,"78,901,614","37,149,698",66de3d36-26ec-11e2-8757-00259069d5fe,refund
"315,525,987","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","101,364,959",[NULL],[NULL],2020-05-20 02:48:48,2020-05-20 02:48:48,[NULL],[NULL],[NULL],held,authorization,-6.4000,"65,413,388","29,557,920",a9cbf0fa-2621-11e2-8267-00259069d5fe,exchange
"315,517,737","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","101,616,821",[NULL],[NULL],2020-05-20 00:12:30,2020-05-20 00:12:30,[NULL],[NULL],[NULL],held,reverse_authorization,3.5000,"79,621,331","69,007,716",0a34b0d4-26f0-11e2-8757-00259069d5fe,refund
"315,523,287","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","101,089,607",[NULL],[NULL],2020-05-20 01:52:01,2020-05-20 01:52:01,[NULL],[NULL],[NULL],settled,capture,-10.2500,"226,879,405","150,514,069",70a59a30-ee34-11e6-9197-002590980808,refund
"315,527,333","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520",[NULL],[NULL],[NULL],2020-05-20 03:17:19,2020-05-20 03:17:19,[NULL],[NULL],[NULL],held,reverse_authorization,7.2000,"13,473,828","329,901,617",ee85d878-23dd-11e2-86db-00259069d5fe,exchange
"315,529,485","20,200,520",2020-05-21 03:48:23,2020-05-21 03:48:23,"20,200,520","100,418,631",[NULL],[NULL],2020-05-20 04:03:29,2020-05-20 04:03:29,[NULL],[NULL],[NULL],settled,capture,-7.0000,"537,094,985","331,562,789",b73bd566-1963-11e9-afad-0242ac110002,cs
"315,518,601","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","101,618,885",[NULL],[NULL],2020-05-20 00:33:17,2020-05-20 00:33:17,[NULL],[NULL],[NULL],settled,issuance,59.2500,"110,396,749","47,134,362",8179953a-12f3-11e2-a309-00259060b35c,refund
"315,519,255","20,200,520",2020-05-20 04:03:50,2020-05-21 03:48:19,"20,200,520","101,618,995",[NULL],[NULL],2020-05-20 00:46:35,2020-05-20 00:46:35,[NULL],[NULL],[NULL],settled,issuance,10.0000,"61,603,482","93,785,110",40f2137c-25f2-11e2-9703-00259069d5fe,refund
